"LEVEL","ID","Category","Name","Method","MethodArgument","RegistryPath","RegistryItem","ClassName","Namespace","Property","DefaultValue","RecommendedValue","Operator","Severity"
"L1","1.2.1","Cast","Google Cast (Disabled)","Registry",,"HKLM:\Software\Policies\Microsoft\Edge","EnableMediaRouter",,,,1,0,"=","Low"
"L2","1.3.1","Content Settings","Read access via the File System API on these sites (Disabled)","Registry",,"HKLM:\Software\Policies\Microsoft\Edge","FileSystemReadAskForUrls",,,,,,"=","Low"
"L1","1.3.2","Content Settings","Control use of insecure content exceptions","Registry",,"HKLM:\Software\Policies\Microsoft\Edge","DefaultinsecurecontentSetting",,,,,2,"=","Low"
"L2","1.3.3","Content Settings","Do not allow any site to run JavaScript JIT","Registry",,"HKLM:\Software\Policies\Microsoft\Edge","DefaultJavaScriptJitSetting",,,,,2,"=","Low"
"L2","1.3.4","Content Settings","Don't allow any site to request read access to files and directories via the File System API","Registry",,"HKLM:\Software\Policies\Microsoft\Edge","DefaultFileSystemReadGuardSetting",,,,3,2,"=","Low"
"L1","1.3.5","Content Settings","Don't allow any site to request write access to iles and directories","Registry",,"HKLM:\Software\Policies\Microsoft\Edge","DefaultFileSystemWriteGuardSetting",,,,3,2,"=","Low"
"L2","1.3.6","Content Settings","Do not allow any site to request access to Bluetooth devices via the Web Bluetooth API","Registry",,"HKLM:\Software\Policies\Microsoft\Edge","DefaultWebBluetoothGuardSetting",,,,,2,"=","Low"
"L2","1.3.7","Content Settings","Do not allow any site to request access to HID devices via the WebHID API","Registry",,"HKLM:\Software\Policies\Microsoft\Edge","DefaultWebHidGuardSetting",,,,,2,"=","Low"
"L1","1.3.8","Content Settings","Don´t allow any website to perform automatic downloads","Registry",,"HKLM:\Software\Policies\Microsoft\Edge","DefaultAutomaticDownloadsSetting",,,,,2,"=","Low"
"L1","1.3.9","Content Settings","Don't allow any site to track users' physical location'","Registry",,"HKLM:\Software\Policies\Microsoft\Edge","DefaultGeolocationSetting",,,,,2,"=","Low"
"L2","1.3.10","Content Settings","Block third-party storage partitioning from being enabled","Registry",,"HKLM:\Software\Policies\Microsoft\Edge","DefaultThirdPartyStoragePartitioningSet",,,,,2,"=","Low"
"L1","1.5.1","Edge Website Typo Protection settings","Configure Edge Website Typo Protection (Enabled)","Registry",,"HKLM:\Software\Policies\Microsoft\Edge","TyposquattingCheckerEnabled",,,,,1,"=","Low"
"L1","1.7.1","Experimentation","Prevent users from overriding feature flags (Enabled)","Registry",,"HKLM:\Software\Policies\Microsoft\Edge","FeatureFlagoverridesControl",,,,,0,"=","Low"
"L1","1.8.1","Extensions","Blocks external extensions from being installed (Enabled)","Registry",,"HKLM:\Software\Policies\Microsoft\Edge","BlockExternalExtensions",,,,0,1,"=","Low"
"L2","1.8.2","Extensions","Configure extension management settings (Enabled: *)","Registry",,"HKLM:\Software\Policies\Microsoft\Edge","ExtensionSettings",,,,,"*","=","Low"
"L1","1.9.1","Games settings","Enable Gamer Mode (Disabled)","Registry",,"HKLM:\Software\Policies\Microsoft\Edge","GamerModeEnabled",,,,1,0,"=","Low"
"L1","1.10.1","HTTP authentication","Allow Basic authentication for HTTP (Disabled)","Registry",,"HKLM:\Software\Policies\Microsoft\Edge","BasicAuthOverHttpEnabled",,,,1,0,"=","Low"
"L1","1.10.2","HTTP authentication","Allow cross-origin HTTP Authentication prompts (Disabled)","Registry",,"HKLM:\Software\Policies\Microsoft\Edge","AllowCrossOriginAuthPrompt",,,,0,0,"=","Low"
"L2","1.10.3","HTTP authentication","Supported authentication schemes (Enabled: ntlm, negotiate)","Registry",,"HKLM:\Software\Policies\Microsoft\Edge","AuthSchemes",,,,0,"ntlm,negotiate","=","Low"
"L1","1.11.1","Identity and sign-in","linked account feature (Disabled)","Registry",,"HKLM:\Software\Policies\Microsoft\Edge","LinkedAccountEnabled",,,,1,0,"=","Low"
"L1","1.11.2","Identity and sign-in","Guided Switch (Disabled)","Registry",,"HKLM:\Software\Policies\Microsoft\Edge","GuidedSwitchEnabled",,,,1,0,"=","Low"
"L1","1.17.1","Password manager and protection","saving passwords to the password manager (Disabled)","Registry",,"HKLM:\Software\Policies\Microsoft\Edge","PasswordManagerEnabled",,,,1,0,"=","Low"
"L1","1.18.1","Performance","startup boost (Disabled)","Registry",,"HKLM:\Software\Policies\Microsoft\Edge","StartupBoostEnabled",,,,,0,"=","Low"
"L1","1.21.1","Private Network Request Settings","pecifies whether to allow websites to make requests to more-private network endpoints (Disabled)","Registry",,"HKLM:\Software\Policies\Microsoft\Edge","InsecurePrivateNetworkRequestsAllowed",,,,,0,"=","Low"
"L1","1.25.1","SmartScreen settings","Configure Microsoft Defender SmartScreen (Enabled)","Registry",,"HKLM:\Software\Policies\Microsoft\Edge","SmartScreenEnabled",,,,1,1,"=","Low"
"L1","1.25.2","SmartScreen settings","Configure Microsoft Defender SmartScreen to block potentially unwanted apps (Enabled)","Registry",,"HKLM:\Software\Policies\Microsoft\Edge","SmartScreenPuaEnabled",,,,,1,"=","Low"
"L1","1.25.3","SmartScreen settings","Enable Microsoft Defender SmartScreen DNS requests (Disabled)","Registry",,"HKLM:\Software\Policies\Microsoft\Edge","SmartScreenDnsRequestsEnabled",,,,1,0,"=","Low"
"L1","1.25.4","SmartScreen settings","Force Microsoft Defender SmartScreen checks on downloads from trusted sources (Enabled)","Registry",,"HKLM:\Software\Policies\Microsoft\Edge","SmartScreenForTrustedDownloadsEnabled",,,,1,1,"=","Low"
"L1","1.25.5","SmartScreen settings","Prevent bypassing Microsoft Defender SmartScreen prompts for sites (Enabled)","Registry",,"HKLM:\Software\Policies\Microsoft\Edge","PreventSmartScreenPromptOverride",,,,0,1,"=","Low"
"L1","1.25.6","SmartScreen settings","Prevent bypassing of Microsoft Defender SmartScreen warnings about downloads (Enabled)","Registry",,"HKLM:\Software\Policies\Microsoft\Edge","PreventSmartScreenPromptOverrideForFiles",,,,0,1,"=","Low"
"L1","3.1.1","Microsoft Edge Update","Update policy override default (Enabled)","Registry",,"HKLM:\Software\Policies\Microsoft\Edge","UpdateDefault",,,,,1,"=","Low"
"L1","3.3.1","Microsoft Edge Update","Auto-update check period override","Registry",,"HKLM:\Software\Policies\Microsoft\Edge","AutoUpdateCheckPeriodMinutes",,,,1400,0,"=","Low"
"L1","1.26.1","Startup, home page and new tab page","Disable Bing chat entry-points on Microsoft Edge Enterprise new tab page","Registry",,"HKLM:\Software\Policies\Microsoft\Edge","NewTabPageBingChatEnabled",,,,1,0,"=","Low"
"L1",1.27,"Startup, home page and new tab page","Block ads on sites with intrusive ads","Registry",,"HKLM:\Software\Policies\Microsoft\Edge","AdsSettingForIntrusiveAdsSites",,,,,2,"=","Low"
"L1",1.28,"Startup, home page and new tab page","Block malicious downloads","Registry",,"HKLM:\Software\Policies\Microsoft\Edge","DownloadRestrictions",,,,,4,"=","Low"
"L2",1.29,"Startup, home page and new tab page","Allow features to download assets from the Asset Delivery Service (Disabled)","Registry",,"HKLM:\Software\Policies\Microsoft\Edge","EdgeAssetDeliveryServiceEnabled",,,,1,0,"=","Low"
"L2","“1.30”","Startup, home page and new tab page","Allow file selection dialogs (Disabled)","Registry",,"HKLM:\Software\Policies\Microsoft\Edge","AllowFileSelectionDialogs",,,,1,0,"=","Low"
"L1",1.31,"Startup, home page and new tab page","Allow Google Cast to connect to Cast devices on all IP addresses (Disabled)","Registry",,"HKLM:\Software\Policies\Microsoft\Edge","MediaRouterCastAllowAllIPs",,,,0,0,"=","Low"
"L1",1.32,"Startup, home page and new tab page","llow import of data from other browsers on each Microsoft Edge launch","Registry",,"HKLM:\Software\Policies\Microsoft\Edge","ImportOnEachLaunch",,,,,0,"=","Low"
"L1",1.33,"Startup, home page and new tab page","Allow importing of autofill form data (Disabled)","Registry",,"HKLM:\Software\Policies\Microsoft\Edge","ImportAutofillFormData",,,,1,0,"=","Low"
"L1",1.34,"Startup, home page and new tab page","Allow importing of browser settings (Disabled)","Registry",,"HKLM:\Software\Policies\Microsoft\Edge","ImportBrowserSettings",,,,1,0,"=","Low"
"L1",1.35,"Startup, home page and new tab page","Allow importing of home page settings (Disabled)","Registry",,"HKLM:\Software\Policies\Microsoft\Edge","ImportHomepage",,,,1,0,"=","Low"
"L1",1.36,"Startup, home page and new tab page","Allow importing of payment info (Disabled)","Registry",,"HKLM:\Software\Policies\Microsoft\Edge","ImportPaymentInfo",,,,,0,"=","Low"
"L1",1.37,"Startup, home page and new tab page","Allow importing of saved passwords","Registry",,"HKLM:\Software\Policies\Microsoft\Edge","ImportSavedPasswords",,,,1,0,"=","Low"
"L1",1.38,"Startup, home page and new tab page","Allow importing of search engine settings","Registry",,"HKLM:\Software\Policies\Microsoft\Edge","ImportSearchEngine",,,,,0,"=","Low"
"L1",1.39,"Startup, home page and new tab page","Allow managed extensions to use the Enterprise Hardware Platform API (Disabled)","Registry",,"HKLM:\Software\Policies\Microsoft\Edge","EnterpriseHardwarePlatformAPIEnabled",,,,0,0,"=","Low"
"L2","“1.40”","Startup, home page and new tab page","Allow or block audio capture (Disabled)","Registry",,"HKLM:\Software\Policies\Microsoft\Edge","AudioCaptureAllowed",,,,1,0,"=","Low"
"L2",1.41,"Startup, home page and new tab page","Allow or block video capture (Disabled)","Registry",,"HKLM:\Software\Policies\Microsoft\Edge","VideoCaptureAllowed",,,,1,0,"=","Low"
"L2",1.42,"Startup, home page and new tab page","Allow or deny screen capture (Disabled)","Registry",,"HKLM:\Software\Policies\Microsoft\Edge","ScreenCaptureAllowed",,,,1,0,"=","Low"
"L1",1.43,"Startup, home page and new tab page","Allow personalization of ads","Registry",,"HKLM:\Software\Policies\Microsoft\Edge","PersonalizationReportingEnabled",,,,1,0,"=","Low"
"L1",1.44,"Startup, home page and new tab page","Allow queries to a Browser Network Time service (Enabled)","Registry",,"HKLM:\Software\Policies\Microsoft\Edge","BrowserNetworkTimeQueriesEnabled",,,,1,1,"=","Low"
"L1",1.45,"Startup, home page and new tab page","Allow remote debugging (Disabled)","Registry",,"HKLM:\Software\Policies\Microsoft\Edge","RemoteDebuggingAllowed",,,,1,0,"=","Low"
"L1",1.46,"Startup, home page and new tab page","Allow the audio sandbox to run (Enabled)","Registry",,"HKLM:\Software\Policies\Microsoft\Edge","AudioSandboxEnabled",,,,,1,"=","Low"
"L2",1.47,"Startup, home page and new tab page","Allow unconfigured sites to be reloaded in Internet Explorer mode (Disabled)","Registry",,"HKLM:\Software\Policies\Microsoft\Edge","InternetExplorerIntegrationReloadInIEModeAllowed",,,,,0,"=","Low"
"L1",1.48,"Startup, home page and new tab page","Allow user feedback (Disabled)","Registry",,"HKLM:\Software\Policies\Microsoft\Edge","UserFeedbackAllowed",,,,1,0,"=","Low"
"L2",1.49,"Startup, home page and new tab page","Allow users to open files using the ClickOnce protocol (Disabled)","Registry",,"HKLM:\Software\Policies\Microsoft\Edge","ClickOnceEnabled",,,,0,0,"=","Low"
"L2","“1.50”","Startup, home page and new tab page","Allow users to open files using the DirectInvoke protocol","Registry",,"HKLM:\Software\Policies\Microsoft\Edge","DirectInvokeEnabled",,,,1,0,"=","Low"
"L2",1.51,"Startup, home page and new tab page","Allow users to proceed from the HTTPS warning page (Disabled)","Registry",,"HKLM:\Software\Policies\Microsoft\Edge","SSLErrorOverrideAllowed",,,,1,0,"=","Low"
"L1",1.52,"Startup, home page and new tab page","Allow websites to query for available payment methods (Disabled)","Registry",,"HKLM:\Software\Policies\Microsoft\Edge","PaymentMethodQueryEnabled",,,,1,0,"=","Low"
