"Level","ETS","High_Security","APPLY","ID","Category","Name","Method","MethodArgument","RegistryPath","RegistryItem","ClassName","Namespace","Property","DefaultValue","RecommendedValue","Operator","Severity"
"L1","Y",,"YES","1.2.1","Cast","Enable Google Cast","Registry",,"HKLM:\Software\Policies\Microsoft\Edge","EnableMediaRouter",,,,,0,"=","Medium"
"L2",,"Y","YES","1.3.1","Content Settings","Allow read access via the File System API on these sites","Registry",,"HKLM:\Software\Policies\Microsoft\Edge","FileSystemReadAskForUrls",,,,,,"=","Medium"
"L1","Y",,"YES","1.3.2","Content Settings","Control use of insecure content exceptions","Registry",,"HKLM:\Software\Policies\Microsoft\Edge","DefaultInsecureContentSetting",,,,,2,"=","Medium"
"L2",,"Y","YES","1.3.3","Content Settings","Control use of JavaScript JIT","Registry",,"HKLM:\Software\Policies\Microsoft\Edge","DefaultJavaScriptJitSetting",,,,,2,"=","Medium"
"L2",,"Y","YES","1.3.4","Content Settings","Control use of the File System API for reading","Registry",,"HKLM:\Software\Policies\Microsoft\Edge","DefaultFileSystemReadGuardSetting",,,,2,2,"=","Medium"
"L1","Y",,"YES","1.3.5","Content Settings","Control use of the File System API for writing","Registry",,"HKLM:\Software\Policies\Microsoft\Edge","DefaultFileSystemWriteGuardSetting",,,,3,2,"=","Medium"
"L2",,"Y","YES","1.3.6","Content Settings","Control use of the Web Bluetooth API","Registry",,"HKLM:\Software\Policies\Microsoft\Edge","DefaultWebBluetoothGuardSetting",,,,3,2,"=","Medium"
"L2",,"Y","YES","1.3.7","Content Settings","Control use of the WebHID API","Registry",,"HKLM:\Software\Policies\Microsoft\Edge","DefaultWebHidGuardSetting",,,,3,2,"=","Medium"
"L1","Y",,"YES","1.3.8","Content Settings","Default automatic downloads setting","Registry",,"HKLM:\Software\Policies\Microsoft\Edge","DefaultAutomaticDownloadsSetting",,,,3,2,"=","Medium"
"L1","Y",,"YES","1.3.9","Content Settings","Default geolocation setting","Registry",,"HKLM:\Software\Policies\Microsoft\Edge","DefaultGeolocationSetting",,,,3,2,"=","Medium"
"L2",,"Y","YES","1.3.10","Content Settings","Default setting for third-party storage partitioning","Registry",,"HKLM:\Software\Policies\Microsoft\Edge","DefaultThirdPartyStoragePartitioningSetting",,,,3,2,"=","Medium"
"L1","Y",,"YES","1.5.1","Content Settings","Edge Website Typo Protection settings","Registry",,"HKLM:\Software\Policies\Microsoft\Edge","TyposquattingCheckerEnabled",,,,1,1,"=","Medium"
"L1","Y",,"YES","1.7.1","Experimentation","Configure users ability to override feature flags","Registry",,"HKLM:\Software\Policies\Microsoft\Edge","FeatureFlagoverridesControl",,,,1,0,"=","Medium"
"L1","Y",,"YES","1.8.1","Extensions","Blocks external extensions from being installed","Registry",,"HKLM:\Software\Policies\Microsoft\Edge","BlockExternalExtensions",,,,0,1,"=","Medium"
**************************"L2",,"Y","YES","1.8.2","Extensions","Configure extension management settings","Registry",,"HKLM:\Software\Policies\Microsoft\Edge","ExtensionSettings",,,,0,1,"=","Medium"
"L1","Y",,"YES","1.9.1","Games settings","Enable Gamer Mode","Registry",,"HKLM:\Software\Policies\Microsoft\Edge","GamerModeEnabled",,,,1,0,"=","Medium"
"L1","Y",,"YES","1.10.1","HTTP authentication","Allow Basic authentication for HTTP","Registry",,"HKLM:\Software\Policies\Microsoft\Edge","BasicAuthOverHttpEnabled",,,,1,0,"=","Medium"
"L1","Y",,"YES","1.10.2","HTTP authentication","Allow cross-origin HTTP Authentication prompts","Registry",,"HKLM:\Software\Policies\Microsoft\Edge","AllowCrossOriginAuthPrompt",,,,0,0,"=","Medium"
"L2",,"Y","YES","1.10.3","HTTP authentication","Supported authentication schemes","Registry",,"HKLM:\Software\Policies\Microsoft\Edge","AuthSchemes",,,,"basic;digest;ntlm;negotiate","ntlm;negotiate","=","Medium"
